ZIPCODE	GENDER_FEMALE	GENDER_MALE	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	HEIGHT_T1	WAIST_T1	BMI_T2	WEIGHT_T2	HIP_T2	HEIGHT_T2	WAIST_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	ALCOHOL_INTAKE_T1	KCAL_INTAKE_T1	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	SPORTS_T1	CYCLE_COMMUTE_T1	VOLUNTEER_T1	PREGNANCIES	OSTEOARTHRITIS_T1	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
9497	51.52	48.48	1	9	48.64	55.23	26.66	80.91	99.11	174.18	92.17	26.65	79.83	99.96	173.02	93.61	26.56	29.73	65.57	61.11	6.35	10.81	74.61	77.66	70.2	66.39	95.68	100.93	128.23	139.24	15.63	4.88	5.23	4.75	5.25	6.45	5.5	19.05	9.68	11.29	24.39	3.05	4.22	1853.19	369.86	1777.46	202.19	939.12	47.37	14.55	27.27	2.0	3.08	0.0	3.03	6.06	30.34	18.17	19.72	21.27	21.49	30.21	17.77	28.66	0.97	1.92	0.64	1.78	2010.0	2.65	4.0
9501	59.32	40.68	8	8	45.74	49.99	26.63	80.01	99.38	173.0	93.06	26.74	80.41	99.46	173.23	91.64	37.61	36.15	67.48	65.65	13.25	13.55	74.4	73.32	69.94	67.01	93.86	93.67	126.66	127.63	17.3	5.04	5.09	4.96	5.17	10.54	6.1	18.6	4.95	7.13	24.57	3.14	5.54	1996.09	508.28	2632.44	242.27	1302.36	52.26	34.69	30.8	1.9	7.81	4.86	7.56	7.17	29.8	18.84	19.71	21.89	21.75	29.39	18.25	28.78	1.15	2.32	0.76	1.9	2009.77	2.12	2.15
9502	57.58	42.42	5	8	44.62	49.61	25.78	77.58	97.6	172.8	90.69	26.02	78.43	98.1	173.3	89.72	32.74	34.28	70.57	67.53	11.86	11.57	74.12	73.53	70.35	67.36	93.59	94.4	126.75	129.47	17.47	5.01	5.02	4.96	5.1	9.14	6.7	22.39	4.12	5.15	24.13	3.02	6.44	1923.78	486.76	2585.54	250.57	1404.6	56.28	41.89	26.54	1.84	7.76	2.61	6.71	4.93	29.69	18.84	19.71	22.05	21.98	29.48	18.31	28.59	1.05	2.33	0.63	1.79	2009.71	2.11	2.84
9503	55.71	44.29	3	8	44.17	48.7	26.58	79.73	99.09	172.61	92.84	26.73	80.15	99.17	172.88	91.34	34.23	34.53	75.77	71.56	8.81	10.62	75.46	74.32	70.26	66.97	94.96	95.1	128.27	129.75	15.65	5.04	5.01	5.03	5.14	12.8	6.76	21.3	3.45	5.19	24.72	3.18	6.51	1968.31	599.68	3097.06	260.59	1401.61	54.08	40.55	23.44	1.66	6.74	2.91	8.87	3.4	29.47	19.26	20.01	22.34	22.15	29.45	18.46	28.56	1.17	2.32	0.78	1.92	2009.93	1.99	3.27
9511	58.9	41.1	1	8	44.58	48.09	25.34	75.33	95.97	171.71	88.34	25.58	77.26	97.98	173.24	89.19	40.63	34.15	75.86	68.29	13.11	9.52	74.11	74.48	68.75	67.06	93.01	94.1	124.32	127.23	5.97	4.94	4.89	4.97	4.95	8.2	6.92	14.06	2.74	5.48	25.34	3.29	7.58	2013.03	309.4	1605.88	222.72	1172.46	56.14	16.98	36.36	1.94	8.45	2.7	11.11	0.0	29.42	19.33	19.82	22.09	21.18	29.68	18.16	28.75	0.98	2.54	1.0	2.74	2009.67	2.04	2.32
9514	61.18	38.82	1	9	50.15	55.2	27.96	84.56	102.72	173.71	96.26	28.11	84.1	101.81	172.98	94.98	46.43	55.17	60.26	51.72	13.58	11.86	76.86	75.47	70.28	66.84	96.51	97.05	129.69	134.35	19.05	5.26	5.09	5.21	5.31	9.88	8.75	15.66	8.43	9.64	24.47	3.12	4.3	2019.24	415.11	2113.24	268.5	1380.21	48.68	29.31	46.67	2.17	13.1	5.56	7.41	1.85	28.65	19.66	21.14	22.54	20.96	29.03	19.05	27.49	0.84	2.27	0.72	1.34	2009.67	1.22	2.87
9515	60.0	40.0	1	8	44.4	47.85	26.76	81.23	99.91	174.39	93.25	26.8	81.85	99.95	175.05	91.22	24.0	27.03	78.72	72.97	20.41	21.62	76.3	77.03	67.7	66.28	95.26	97.38	128.44	132.59	8.16	5.02	5.17	4.84	5.5	4.08	7.87	12.77	6.25	12.5	24.78	3.16	5.49	1912.41	533.7	2676.02	154.89	781.93	56.82	15.0	30.43	1.69	8.0	10.0	20.0	16.67	29.33	18.89	19.67	22.23	21.39	28.17	18.39	28.91	1.09	2.49	0.7	2.19	2009.84	1.46	1.1
9521	59.65	40.35	4	8	44.16	48.18	27.14	81.55	100.67	173.11	93.41	27.36	82.45	100.39	173.42	92.51	35.01	33.33	77.66	73.02	12.57	10.07	74.96	74.52	69.77	65.74	94.21	94.85	126.67	129.49	13.97	5.11	4.98	4.97	5.04	9.71	6.26	18.83	3.84	4.35	23.8	2.97	5.04	1996.59	474.17	2511.41	221.63	1248.67	53.87	28.9	30.93	2.04	11.41	1.59	6.0	5.16	29.78	19.04	19.72	22.08	22.13	29.43	18.18	28.63	1.16	2.39	0.62	1.88	2009.87	1.88	1.7
9523	44.44	55.56	1	8	43.26	49.14	26.58	83.65	99.65	176.69	94.21	26.65	83.33	100.16	176.51	92.53	36.0	41.38	77.55	67.86	8.33	6.9	75.44	74.37	71.02	69.23	95.13	94.51	128.22	128.46	9.8	4.98	4.93	5.07	4.96	6.12	8.17	28.57	0.0	0.0	22.7	2.6	9.09	2149.02	536.95	2692.74	232.64	1171.19	35.71	32.43	28.0	2.1	7.41	0.0	8.0	0.0	29.41	18.55	20.05	23.32	22.65	29.5	17.93	28.86	1.32	2.4	0.78	2.25	2009.85	2.04	3.57
9531	63.7	36.3	1	10	51.73	53.55	26.5	79.44	99.52	172.71	90.93	26.66	80.0	100.36	173.09	91.42	35.0	30.95	60.31	53.01	8.96	13.25	74.84	73.21	69.15	66.03	95.55	94.67	129.31	129.68	20.57	5.23	5.07	5.2	5.02	6.72	7.35	11.51	6.21	6.9	26.45	3.51	6.16	1802.53	390.29	2100.86	277.47	1536.76	61.42	30.17	41.05	1.78	16.55	4.94	7.41	3.66	29.43	19.1	19.88	22.51	21.83	29.51	18.33	28.32	1.17	2.25	1.04	1.79	2009.86	0.84	1.83
